Pest Name,Crop,Pest Type,Damage Symptoms,Affected Plant Part,Severity,Recommended Pesticide,Active Ingredient(s),Application Method,Precautions,Source
rice leaf roller,Rice,Lepidopteran (leaf folder),"Leaves folded/skeletonized; yield loss 10–50%",Leaves,High,"Lambda-cyhalothrin; Indoxacarb; Chlorantraniliprole","Lambda-cyhalothrin; Indoxacarb; Chlorantraniliprole","Foliar spray (early season)","Wear PPE; rotate MOA groups","https://en.wikipedia.org/wiki/Cnaphalocrocis_medinalis"
rice leaf caterpillar,Rice,Lepidopteran (leaf feeder),"Leaves rolled; green tissue eaten",Leaves,Medium,"Chlorantraniliprole; Emamectin benzoate; Cartap","Chlorantraniliprole; Emamectin benzoate; Cartap hydrochloride","Foliar spray (vegetative stage)","Follow label; observe PHI","Unknown"
asiatic rice borer,Rice,Lepidopteran (stem borer),"Dead heart and whitehead from stem tunneling",Stems,High,"Emamectin benzoate; Chlorantraniliprole; Fipronil","Emamectin benzoate; Chlorantraniliprole; Fipronil","Soil/foliar at stem elongation","Avoid drift; PHI as per label","https://irac-online.org/pests/chilo-suppressalis/"
yellow rice borer,Rice,Lepidopteran (stem borer),"Stem tunneling; causes dead hearts/whiteheads",Stems,High,"Imidacloprid; Thiamethoxam; Chlorpyrifos","Imidacloprid; Thiamethoxam; Chlorpyrifos","Seed treatment or foliar spray","PHI and bee safety","Unknown"
rice gall midge,Rice,Dipteran (gall midge),"Silver shoot galls; plant stunting, no grains","Tillers (buds)",High,"Cartap hydrochloride; Chlorpyrifos; Fipronil","Cartap hydrochloride; Chlorpyrifos; Fipronil","Foliar spray (early booting)","Toxic to fish; wear PPE","https://en.wikipedia.org/wiki/Orseolia_oryzae"
brown plant hopper,Rice,Hemipteran (planthopper),"Sucks sap; causes hopperburn (wilting)","Stems (base) & leaves",High,"Imidacloprid; Buprofezin; Thiamethoxam","Imidacloprid; Buprofezin; Thiamethoxam","Seed treatment or foliar spray","Avoid overuse; protect natural enemies","https://www.halo.science/request_for_solutions/insecticides-to-control-bph-in-rice"
white backed plant hopper,Rice,Hemipteran (planthopper),"Sucks sap; causes hopperburn; similar to BPH","Stems and leaves",High,"Imidacloprid; Fipronil; Chlorpyrifos","Imidacloprid; Fipronil; Chlorpyrifos","Foliar spray","Rotate chemical classes","IRRI rice pest compendium"
rice water weevil,Rice,Coleopteran (weevil),"Larval root pruning causes stunting; adult leaf scars","Roots (larvae) and leaves",High,"Lambda-cyhalothrin; Zeta-cypermethrin; Diflubenzuron","Lambda-cyhalothrin; Zeta-cypermethrin; Diflubenzuron","Foliar spray post-flood","Apply at threshold; safe for fish with microencapsulation","https://ipm.ucanr.edu/agriculture/rice/rice-water-weevil/"
english grain aphid,Wheat,Hemipteran (aphid),"Sucks sap; transmits barley yellow dwarf virus",Leaves/ stems,Medium,"Imidacloprid; Lambda-cyhalothrin","Imidacloprid; Lambda-cyhalothrin","Foliar spray at first detection","Toxic to bees; monitor natural enemies","Extension wheat IPM guides"
bird cherry-oataphid,Wheat,Hemipteran (aphid),"Vectors barley yellow dwarf; causes leaf yellowing",Leaves,Medium,"Imidacloprid; Thiamethoxam","Imidacloprid; Thiamethoxam","Seed or foliar treatment","Avoid bloom period; use as needed","Extension small grains references"
