Pest,Pesticides
aphids,"Imidacloprid, Acetamiprid, Thiamethoxam"
army worm,"Chlorpyrifos, Lambda-cyhalothrin, Bifenthrin"
asiatic rice borer,"Emamectin benzoate, Fipronil, Chlorantraniliprole"
bird cherry-oataphid,"Imidacloprid, Thiamethoxam, Dinotefuran, Acetamiprid"
black cutworm,"Chlorantraniliprole, Flubendiamide, Emamectin benzoate"
brown plant hopper,"Imidacloprid, Chlorpyrifos, Buprofezin, Thiamethoxam"
corn borer,"Chlorpyrifos, Emamectin benzoate, Lambda-cyhalothrin, Spinosad"
english grain aphid,"Imidacloprid, Lambda-cyhalothrin, Pyrethroids"
flea beetle,"Imidacloprid, Thiamethoxam, Pyrethroids"
grub,"Chlorpyrifos, Imidacloprid, Thiamethoxam"
red spider,"Abamectin, Bifenazate, Spiromesifen"
rice gall midge,"Cartap hydrochloride, Chlorpyrifos, Fipronil"
rice leaf caterpillar,"Cartap hydrochloride, Chlorantraniliprole, Emamectin benzoate"
rice leaf roller,"Chlorpyrifos, Cypermethrin, Indoxacarb"
rice water weevil,"Carbofuran, Chlorpyrifos, Imidacloprid"
Thrips,"Spinosad, Abamectin, Imidacloprid"
wheat blossom midge,"Chlorpyrifos, Imidacloprid, Lambda-cyhalothrin"
wheat sawfly,"Chlorpyrifos, Acetamiprid, Imidacloprid"
white backed plant hopper,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
yellow rice borer,"Chlorpyrifos, Neonicotinoids, Fipronil"
